,Dates,Year,SALES_REV_TURN,IS_COGS_TO_FE_AND_PP_AND_G,GROSS_PROFIT,IS_OPER_INC,EBITDA,IS_INC_TAX_EXP,EBIT,IS_INT_EXPENSE,IS_INT_INC,IS_NET_INTEREST_EXPENSE,IS_DEPR_EXP,IS_INVEST_INCOME,BS_TOT_ASSET,TOTAL_EQUITY,BS_TOT_LIAB2,BS_ST_DEBT,BS_LT_BORROW,C&CE_AND_STI_DETAILED,BS_SH_OUT,BS_CUR_ASSET_REPORT,BS_CUR_LIAB,BS_ACCT_NOTE_RCV,ACCT_PAYABLE_&_ACCRUALS_DETAILED,BS_ACCT_PAYABLE,BS_ACCTS_REC_EXCL_NOTES_REC,BS_INVENTORIES,CF_CASH_FROM_OPER,CF_CASH_FROM_INV_ACT,CF_CASH_FROM_FNC_ACT,GICS_SECTOR,GICS_INDUSTRY_GROUP,GICS_INDUSTRY,GICS_SUB_INDUSTRY,ARD_NET_INC,SHORT_TERM_DEBT_DETAILED,LONG_TERM_BORROWINGS_DETAILED,symbol
1176,31/12/2009,2009,30743,24784,5959,1708,1958,562,1708,106,0,106,213,NA,14153.494,5776.003,8377.491,374.464,1678.166,7803.65,170.1801,9252.816,5259.992,823.62,4530.284,3222.574,NA,0,1422,-1859,80,NA,NA,NA,NA,1040,374.464,1678.166,HUM US EQUITY
1177,31/12/2010,2010,33596,27117,6479,1854,2117,650,1854,105,0,105,225,NA,16103,6924,9179,409,1669,8546,168.4497,10137,5744,959,5150,3469,959,0,2242,-1811,-371,NA,NA,NA,NA,1099,409,1669,HUM US EQUITY
1178,31/12/2011,2011,36832,28823,8009,2344,2647,816,2344,109,0,109,249,NA,17708,8063,9645,306,1659,9120,164.0043,11181,6056,1034,5537,3754,1034,0,2079,-1358,-1017,NA,NA,NA,NA,1419,306,1659,HUM US EQUITY
1179,31/12/2012,2012,39126,30985,8141,2016,2354,689,2016,105,0,105,263,NA,19979,8847,11132,324,2611,9307,158.3319,11710,6375,733,5821,3779,733,0,1923,-1965,-29,NA,NA,NA,NA,1222,324,2611,HUM US EQUITY
1180,31/12/2013,2013,41313,32564,8749,2061,2487,690,2061,140,0,140,309,NA,20735,9316,11419,403,2600,9228,154.0304,12300,6323,950,5714,3893,950,0,1716,-1182,-702,NA,NA,NA,NA,1231,403,2600,HUM US EQUITY
1181,31/12/2014,2014,48500,38166,10334,2362,2811,1023,2362,192,0,192,328,NA,23527,9646,13881,334,3825,9533,149.604,15536,7471,1053,6570,4475,1053,0,1618,-63,-758,NA,NA,NA,NA,1147,334,3825,HUM US EQUITY
1182,31/12/2015,2015,54289,44269,10020,2347,2794,1155,2347,186,0,186,354,NA,24678,10346,14332,600,3794,9838,148.288,15711,8152,1161,7188,4976,1161,0,868,320,-552,NA,NA,NA,NA,1276,600,3794,HUM US EQUITY
1183,31/12/2016,2016,54379,45007,9372,1741,2206,938,1741,189,0,189,388,NA,25396,10685,14711,512,3792,11472,149.3826,16190,7822,1280,7030,4563,1280,0,1936,-1362,732,NA,NA,NA,NA,614,512,3792,HUM US EQUITY
1184,31/12/2017,2017,53767,43496,10271,4262,4747,1572,4262,242,0,242,410,NA,27178,9842,17336,291,4770,13599,137.6787,17402,9406,854,8737,4668,854,0,4051,-2941,-945,NA,NA,NA,NA,2448,291,4770,HUM US EQUITY
1185,31/12/2018,2018,56912,45882,11030,3100,3634,391,3100,218,0,218,444,NA,25413,10161,15252,1865,4375,12369,135.5667,16948,10077,1015,7929,4862,1015,0,2173,-3087,-785,NA,NA,NA,NA,1683,1865,4375,HUM US EQUITY
